"Subject_code" "Activity_code" "Activity_label" "Mean"
25 3 "WALKING_DOWNSTAIRS" -0.335078553679007
25 4 "SITTING" -0.604509610361155
25 5 "STANDING" -0.613945839713307
25 6 "LAYING" -0.570587047807129
26 1 "WALKING" -0.271406731805143
26 2 "WALKING_UPSTAIRS" -0.305115745183321
26 3 "WALKING_DOWNSTAIRS" -0.172518329775734
26 4 "SITTING" -0.603944118434526
26 5 "STANDING" -0.613241650652751
26 6 "LAYING" -0.595254205333886
27 1 "WALKING" -0.266781630894431
27 2 "WALKING_UPSTAIRS" -0.342018443149963
27 3 "WALKING_DOWNSTAIRS" -0.158161316639386
27 4 "SITTING" -0.603338306546586
27 5 "STANDING" -0.610806197582251
27 6 "LAYING" -0.594096888281148
28 1 "WALKING" -0.285088922798751
28 2 "WALKING_UPSTAIRS" -0.295372554581159
28 3 "WALKING_DOWNSTAIRS" -0.12543827491249
28 4 "SITTING" -0.616165945460807
28 5 "STANDING" -0.618516796926162
28 6 "LAYING" -0.631110193103237
29 1 "WALKING" -0.216790400944455
29 2 "WALKING_UPSTAIRS" -0.245353572484911
29 3 "WALKING_DOWNSTAIRS" -0.166116177694424
29 4 "SITTING" -0.599502576192753
29 5 "STANDING" -0.609616980359735
29 6 "LAYING" -0.584565825026074
30 1 "WALKING" -0.245849040422536
30 2 "WALKING_UPSTAIRS" -0.351435833812871
30 3 "WALKING_DOWNSTAIRS" -0.215537696652668
30 4 "SITTING" -0.61101762170298
30 5 "STANDING" -0.622602898948469
30 6 "LAYING" -0.610720545199801
